project_id,environment_id,environment_name,connection_account,connection_warehouse,connection_role,connection_database
1,1,Sandbox,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_LIFE
1,2,Test Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_LIFE
1,4,Development Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_LIFE
4,7,MVP,qb25755.ap-southeast-2.privatelink,DATALAB_LOADTRANS_WH,CEGSEC_AU_SNFLK_DEV_DATA_ANST,DATA_LAB
5,8,Sandbox,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_GI
5,10,Development Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_GI
5,11,Test Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_GI
7,13,Sandbox,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_ENT
7,14,Development Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_ENT
7,16,Test Environment,qb25755.ap-southeast-2.privatelink,NONPRD_TRANSFORMATION_WH,CEGSEC_AU_SNFLK_DEV_DATA_ENGR,DEV_ZURICH_ENT
